interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
stbd1,ptpn1,human,human,3,human-human
stbd1,rhot2,human,human,3,human-human
stbd1,rmdn3,human,human,3,human-human
stbd1,slc25a46,human,human,3,human-human
stbd1,sec62,human,human,3,human-human
phactr2,elavl1,human,human,3,human-human
phactr2,cdh1,human,human,3,human-human
phactr2,bcl7c,human,human,3,human-human
phactr2,potei,human,human,3,human-human
phactr2,bcl7a,human,human,3,human-human
phactr2,acta2,human,human,3,human-human
phactr2,actbl2,human,human,3,human-human
phactr2,actb,human,human,3,human-human
phactr2,tmod3,human,human,3,human-human
phactr2,actc1,human,human,3,human-human
phactr2,trim25,human,human,3,human-human
phactr2,virma,human,human,3,human-human
phactr2,apex1,human,human,3,human-human
phactr2,h2bc9,human,human,3,human-human
gys2,tnfrsf1a,human,human,3,human-human
gys2,gyg2,human,human,3,human-human
gys2,ppp1r3b,human,human,3,human-human
gys2,ppp1r3c,human,human,3,human-human
gys2,ppp1ca,human,human,3,human-human
gys2,stbd1,human,human,3,human-human
gys2,tp53,human,human,3,human-human
gys2,mdm2,human,human,3,human-human
gys2,kif20a,human,human,3,human-human
prss23,b2m,human,human,3,human-human
prss23,chp1,human,human,3,human-human
prss23,tmem222,human,human,3,human-human
prss23,efna3,human,human,3,human-human
prss23,gatd1,human,human,3,human-human
prss23,grk6,human,human,3,human-human
prss23,hspa4,human,human,3,human-human
prss23,nipbl,human,human,3,human-human
prss23,ncapd3,human,human,3,human-human
prss23,mapk8ip2,human,human,3,human-human
prss23,phf23,human,human,3,human-human
prss23,recql4,human,human,3,human-human
prss23,shmt1,human,human,3,human-human
prss23,tcf12,human,human,3,human-human
prss23,trappc4,human,human,3,human-human
prss23,odf2l,human,human,3,human-human
prss23,noc4l,human,human,3,human-human
prss23,pdpk1,human,human,3,human-human
prss23,racgap1,human,human,3,human-human
prss23,slc25a6,human,human,3,human-human
prss23,fxr1,human,human,3,human-human
prss23,actg1,human,human,3,human-human
prss23,ppia,human,human,3,human-human
prss23,elavl1,human,human,3,human-human
prss23,app,human,human,3,human-human
prss23,actb,human,human,3,human-human
prss23,lrp2,human,human,3,human-human
prss23,bax,human,human,3,human-human
prss23,srpra,human,human,3,human-human
prss23,ctr9,human,human,3,human-human
prss23,tent5a,human,human,3,human-human
prss23,nop9,human,human,3,human-human
prss23,crp,human,human,3,human-human
prss23,klrg2,human,human,3,human-human
prss23,col5a1,human,human,3,human-human
prss23,scgb2a2,human,human,3,human-human
prss23,ubr1,human,human,3,human-human
prss23,sec11c,human,human,3,human-human
prss23,h1-0,human,human,3,human-human
prss23,chmp4b,human,human,3,human-human
ppp1r3d,sfn,human,human,3,human-human
ppp1r3d,ppp1cc,human,human,3,human-human
ppp1r3d,ppp1ca,human,human,3,human-human
ppp1r3d,ppp1r3c,human,human,3,human-human
ppp1r3d,stbd1,human,human,3,human-human
ppp1r3d,xpo1,human,human,3,human-human
ppp1r3d,ywhaz,human,human,3,human-human
ppp1r3d,prkab2,human,human,3,human-human
tbc1d14,ube3a,human,human,3,human-human
tbc1d14,xpo1,human,human,3,human-human
tbc1d14,cenpa,human,human,3,human-human
tbc1d14,pml,human,human,3,human-human
tbc1d14,tfeb,human,human,3,human-human
tbc1d14,trappc11,human,human,3,human-human
tbc1d14,trappc12,human,human,3,human-human
tbc1d14,trappc13,human,human,3,human-human
tbc1d14,grk2,human,human,3,human-human
tbc1d14,trappc8,human,human,3,human-human
tbc1d14,trappc4,human,human,3,human-human
tbc1d14,trappc3,human,human,3,human-human
tbc1d14,trappc6b,human,human,3,human-human
tbc1d14,selenbp1,human,human,3,human-human
tbc1d14,hephl1,human,human,3,human-human
tbc1d14,trappc2,human,human,3,human-human
tbc1d14,trappc9,human,human,3,human-human
tbc1d14,trappc5,human,human,3,human-human
tbc1d14,lrrc15,human,human,3,human-human
tbc1d14,trappc2l,human,human,3,human-human
tbc1d14,trappc10,human,human,3,human-human
tbc1d14,trappc1,human,human,3,human-human
tbc1d14,tchh,human,human,3,human-human
tbc1d14,hnrnpl,human,human,3,human-human
tbc1d14,tnip2,human,human,3,human-human
tbc1d14,rnf123,human,human,3,human-human
tbc1d14,virma,human,human,3,human-human
tbc1d14,nxf1,human,human,3,human-human
tbc1d14,ociad2,human,human,3,human-human
tbc1d14,sparc,human,human,3,human-human
tbc1d14,eef1g,human,human,3,human-human
tbc1d14,mmgt1,human,human,3,human-human
