interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
ppp1r3d,ppp1cc,human,human,3,human-human
ppp1r3d,ppp1ca,human,human,3,human-human
ppp1r3d,ppp1r3c,human,human,3,human-human
ppp1r3d,stbd1,human,human,3,human-human
ppp1r3d,xpo1,human,human,3,human-human
ppp1r3d,ywhaz,human,human,3,human-human
ppp1r3d,prkab2,human,human,3,human-human
mov10,n,human,virus,4,human-virus
gng5,nsp7,human,virus,4,human-virus
rae1,orf6,human,virus,4,human-virus
uggt2,orf8,human,virus,4,human-virus
trim7,m,human,virus,4,human-virus
nr2c2,m,human,virus,4,human-virus
spint2,orf3a,human,virus,4,human-virus
tnfrsf1a,orf3a,human,virus,4,human-virus
phpt1,orf3a,human,virus,4,human-virus
stub1,orf3a,human,virus,4,human-virus
eea1,orf3a,human,virus,4,human-virus
ggt1,orf3a,human,virus,4,human-virus
spint2,orf7b,human,virus,4,human-virus
tnfrsf1a,orf7b,human,virus,4,human-virus
stub1,orf7b,human,virus,4,human-virus
tgfb1,orf8,human,virus,4,human-virus
coro1c,s,human,virus,4,human-virus
myo6,s,human,virus,4,human-virus
hspa4,m,human,virus,4,human-virus
xpo1,m,human,virus,4,human-virus
dld,n,human,virus,4,human-virus
myo6,n,human,virus,4,human-virus
xpo1,orf3a,human,virus,4,human-virus
xpo1,orf6,human,virus,4,human-virus
hspa4,orf7a,human,virus,4,human-virus
xpo1,orf7a,human,virus,4,human-virus
xpo1,orf7b,human,virus,4,human-virus
xpo1,orf8,human,virus,4,human-virus
ppp1cb,orf9b,human,virus,4,human-virus
dld,orf9b,human,virus,4,human-virus
myo6,orf9b,human,virus,4,human-virus
coro1c,orf9b,human,virus,4,human-virus
myo6,orf14,human,virus,4,human-virus
xpo1,orf14,human,virus,4,human-virus
myo6,nsp5,human,virus,4,human-virus
xpo1,nsp7,human,virus,4,human-virus
coro1c,nsp8,human,virus,4,human-virus
ppp1cb,nsp8,human,virus,4,human-virus
dld,nsp8,human,virus,4,human-virus
ppp1cb,nsp10,human,virus,4,human-virus
xpo1,nsp10,human,virus,4,human-virus
tpm4,nsp10,human,virus,4,human-virus
aasdhppt,nsp10,human,virus,4,human-virus
myo6,nsp11,human,virus,4,human-virus
myo1b,nsp11,human,virus,4,human-virus
coro1c,nsp12,human,virus,4,human-virus
dld,nsp12,human,virus,4,human-virus
myo6,nsp12,human,virus,4,human-virus
ppp1cb,nsp13,human,virus,4,human-virus
myo6,nsp13,human,virus,4,human-virus
capza2,nsp14,human,virus,4,human-virus
hspa4,nsp2,human,virus,4,human-virus
myo6,nsp3,human,virus,4,human-virus
xpo1,orf10,human,virus,4,human-virus
egfr,s,human,virus,4,human-virus
spint2,e,human,virus,4,human-virus
dnajb4,e,human,virus,4,human-virus
dld,e,human,virus,4,human-virus
dync1i2,e,human,virus,4,human-virus
app,e,human,virus,4,human-virus
atp5f1c,e,human,virus,4,human-virus
wwox,e,human,virus,4,human-virus
stbd1,e,human,virus,4,human-virus
stub1,m,human,virus,4,human-virus
spint2,m,human,virus,4,human-virus
dnajb4,m,human,virus,4,human-virus
dld,m,human,virus,4,human-virus
dync1i2,m,human,virus,4,human-virus
elavl1,m,human,virus,4,human-virus
hnrnpc,m,human,virus,4,human-virus
app,m,human,virus,4,human-virus
myo1c,m,human,virus,4,human-virus
wwox,m,human,virus,4,human-virus
coro1b,m,human,virus,4,human-virus
sgta,m,human,virus,4,human-virus
ywhaz,m,human,virus,4,human-virus
stbd1,m,human,virus,4,human-virus
pom121,m,human,virus,4,human-virus
dync1i2,nsp13,human,virus,4,human-virus
dync1i2,nsp14,human,virus,4,human-virus
dld,nsp16,human,virus,4,human-virus
myo1c,nsp16,human,virus,4,human-virus
ppp1cc,nsp2,human,virus,4,human-virus
spint2,nsp4,human,virus,4,human-virus
dync1i2,nsp4,human,virus,4,human-virus
egfr,nsp4,human,virus,4,human-virus
hspa4,nsp4,human,virus,4,human-virus
app,nsp4,human,virus,4,human-virus
wwox,nsp4,human,virus,4,human-virus
coro1b,nsp4,human,virus,4,human-virus
ywhaz,nsp4,human,virus,4,human-virus
stbd1,nsp4,human,virus,4,human-virus
pom121,nsp4,human,virus,4,human-virus
dync1i2,nsp5,human,virus,4,human-virus
ppp1cc,nsp5,human,virus,4,human-virus
spint2,nsp6,human,virus,4,human-virus
dld,nsp6,human,virus,4,human-virus
dync1i2,nsp6,human,virus,4,human-virus
elavl1,nsp6,human,virus,4,human-virus
hspa4,nsp6,human,virus,4,human-virus
app,nsp6,human,virus,4,human-virus
myo1c,nsp6,human,virus,4,human-virus
wwox,nsp6,human,virus,4,human-virus
coro1b,nsp6,human,virus,4,human-virus
traf2,nsp6,human,virus,4,human-virus
stbd1,nsp6,human,virus,4,human-virus
pom121,nsp6,human,virus,4,human-virus
dyrk1a,nsp8,human,virus,4,human-virus
gbe1,nsp8,human,virus,4,human-virus
myo1c,nsp8,human,virus,4,human-virus
coro1b,nsp8,human,virus,4,human-virus
spint2,orf14,human,virus,4,human-virus
cdca5,orf14,human,virus,4,human-virus
hnrnpl,orf14,human,virus,4,human-virus
stbd1,orf14,human,virus,4,human-virus
pom121,orf14,human,virus,4,human-virus
dync1i2,orf3a,human,virus,4,human-virus
wwox,orf3a,human,virus,4,human-virus
stbd1,orf3a,human,virus,4,human-virus
spint2,orf3b,human,virus,4,human-virus
app,orf3b,human,virus,4,human-virus
wwox,orf3b,human,virus,4,human-virus
nxf1,orf6,human,virus,4,human-virus
spint2,orf6,human,virus,4,human-virus
dld,orf6,human,virus,4,human-virus
dync1i2,orf6,human,virus,4,human-virus
atp5f1c,orf6,human,virus,4,human-virus
wwox,orf6,human,virus,4,human-virus
sgta,orf6,human,virus,4,human-virus
stbd1,orf6,human,virus,4,human-virus
pom121,orf6,human,virus,4,human-virus
spint2,orf7a,human,virus,4,human-virus
dync1i2,orf7a,human,virus,4,human-virus
elavl1,orf7a,human,virus,4,human-virus
app,orf7a,human,virus,4,human-virus
wwox,orf7a,human,virus,4,human-virus
sgta,orf7a,human,virus,4,human-virus
stbd1,orf7a,human,virus,4,human-virus
dync1i2,orf7b,human,virus,4,human-virus
egfr,orf7b,human,virus,4,human-virus
app,orf7b,human,virus,4,human-virus
wwox,orf7b,human,virus,4,human-virus
ppp1cc,orf7b,human,virus,4,human-virus
sgta,orf7b,human,virus,4,human-virus
stbd1,orf7b,human,virus,4,human-virus
agr2,orf8,human,virus,4,human-virus
spint2,orf8,human,virus,4,human-virus
ggt1,orf8,human,virus,4,human-virus
app,orf8,human,virus,4,human-virus
lgals3bp,orf8,human,virus,4,human-virus
sgta,orf8,human,virus,4,human-virus
stbd1,orf8,human,virus,4,human-virus
got2,orf9b,human,virus,4,human-virus
atp5f1c,orf9b,human,virus,4,human-virus
spint2,s,human,virus,4,human-virus
wwox,s,human,virus,4,human-virus
stbd1,s,human,virus,4,human-virus
pom121,e,human,virus,4,human-virus
egfr,m,human,virus,4,human-virus
ehd1,m,human,virus,4,human-virus
ehd4,m,human,virus,4,human-virus
rae1,m,human,virus,4,human-virus
tulp3,m,human,virus,4,human-virus
lima1,nsp10,human,virus,4,human-virus
ago2,nsp12,human,virus,4,human-virus
lgals3bp,nsp12,human,virus,4,human-virus
myo1b,nsp12,human,virus,4,human-virus
stub1,nsp12,human,virus,4,human-virus
vbp1,nsp12,human,virus,4,human-virus
poc1b,nsp13,human,virus,4,human-virus
lima1,nsp14,human,virus,4,human-virus
myo1b,nsp14,human,virus,4,human-virus
myo1b,nsp15,human,virus,4,human-virus
vbp1,nsp15,human,virus,4,human-virus
ago2,nsp16,human,virus,4,human-virus
med23,nsp16,human,virus,4,human-virus
poc1b,nsp16,human,virus,4,human-virus
raver1,nsp16,human,virus,4,human-virus
stil,nsp16,human,virus,4,human-virus
casp8,nsp2,human,virus,4,human-virus
lima1,nsp2,human,virus,4,human-virus
myo1b,nsp2,human,virus,4,human-virus
cobl,nsp3,human,virus,4,human-virus
lgals3bp,nsp4,human,virus,4,human-virus
rae1,nsp4,human,virus,4,human-virus
stub1,nsp4,human,virus,4,human-virus
mtmr14,nsp6,human,virus,4,human-virus
kif20a,nsp7,human,virus,4,human-virus
lgals3bp,nsp7,human,virus,4,human-virus
lima1,nsp7,human,virus,4,human-virus
myo1b,nsp7,human,virus,4,human-virus
raver1,nsp7,human,virus,4,human-virus
raver1,orf14,human,virus,4,human-virus
egfr,orf3a,human,virus,4,human-virus
