interactorA,interactorB,interactorAType,interactorBType,layer,interactionType
fgg,asb6,human,human,3,human-human
fgg,asb7,human,human,3,human-human
fgg,asb12,human,human,3,human-human
fgg,ca8,human,human,3,human-human
fgg,ascc1,human,human,3,human-human
fgg,ddx19b,human,human,3,human-human
fgg,aldh2,human,human,3,human-human
fgg,chd9,human,human,3,human-human
fgg,nup93,human,human,3,human-human
fgg,icam1,human,human,3,human-human
fgg,h2bc11,human,human,3,human-human
fgg,mapk6,human,human,3,human-human
fgg,ring1,human,human,3,human-human
fgg,snx27,human,human,3,human-human
fgg,cdk15,human,human,3,human-human
fgg,ccnyl1,human,human,3,human-human
fgg,itga2b,human,human,3,human-human
fgg,itgb3,human,human,3,human-human
fgg,app,human,human,3,human-human
fgg,hspd1,human,human,3,human-human
fgg,nek4,human,human,3,human-human
klhl23,usp22,human,human,3,human-human
klhl23,bnip3l,human,human,3,human-human
klhl23,tk1,human,human,3,human-human
klhl23,anxa1,human,human,3,human-human
klhl23,cdkn1a,human,human,3,human-human
klhl23,anxa7,human,human,3,human-human
klhl23,cul3,human,human,3,human-human
klhl23,cops5,human,human,3,human-human
klhl23,dcun1d1,human,human,3,human-human
klhl23,hsp90aa1,human,human,3,human-human
klhl23,nudcd3,human,human,3,human-human
klhl23,acot8,human,human,3,human-human
klhl23,amdhd1,human,human,3,human-human
klhl23,hnrnpk,human,human,3,human-human
klhl23,pls3,human,human,3,human-human
klhl23,pes1,human,human,3,human-human
klhl23,bcl7a,human,human,3,human-human
klhl23,ccn2,human,human,3,human-human
klhl23,tex45,human,human,3,human-human
klhl23,rgs3,human,human,3,human-human
klhl23,osbpl5,human,human,3,human-human
klhl23,bspry,human,human,3,human-human
klhl23,lmo2,human,human,3,human-human
klhl23,trim25,human,human,3,human-human
klhl23,hnrnpl,human,human,3,human-human
klhl23,stau1,human,human,3,human-human
eloc,orf10,human,virus,4,human-virus
elob,orf10,human,virus,4,human-virus
pomt1,m,human,virus,4,human-virus
mthfd1l,m,human,virus,4,human-virus
arfgef2,m,human,virus,4,human-virus
ltn1,m,human,virus,4,human-virus
arfgef1,m,human,virus,4,human-virus
hspa5,nsp4,human,virus,4,human-virus
tnip1,orf3a,human,virus,4,human-virus
snx27,orf3a,human,virus,4,human-virus
bmerb1,orf3a,human,virus,4,human-virus
glo1,orf3a,human,virus,4,human-virus
ptpn11,orf3a,human,virus,4,human-virus
fgfr1,orf3a,human,virus,4,human-virus
nup93,orf7a,human,virus,4,human-virus
rnf213,orf7a,human,virus,4,human-virus
ltn1,orf7a,human,virus,4,human-virus
arfgef1,orf7a,human,virus,4,human-virus
erbb2,orf7b,human,virus,4,human-virus
bnip3l,orf7b,human,virus,4,human-virus
b4gat1,orf7b,human,virus,4,human-virus
gorasp2,orf7b,human,virus,4,human-virus
ptpn11,orf7b,human,virus,4,human-virus
st7,orf7b,human,virus,4,human-virus
fga,orf8,human,virus,4,human-virus
fgb,orf8,human,virus,4,human-virus
pls3,s,human,virus,4,human-virus
rcn2,m,human,virus,4,human-virus
immt,m,human,virus,4,human-virus
rcn2,orf3a,human,virus,4,human-virus
immt,orf3a,human,virus,4,human-virus
immt,orf7a,human,virus,4,human-virus
rcn2,orf7b,human,virus,4,human-virus
immt,orf7b,human,virus,4,human-virus
immt,orf8,human,virus,4,human-virus
pls3,orf9b,human,virus,4,human-virus
rcn2,orf14,human,virus,4,human-virus
immt,orf14,human,virus,4,human-virus
aifm1,nsp10,human,virus,4,human-virus
pfkfb3,nsp12,human,virus,4,human-virus
pfkfb3,nsp13,human,virus,4,human-virus
pls3,nsp14,human,virus,4,human-virus
pfkfb3,nsp3,human,virus,4,human-virus
